# ddsync metrics
# K_SIGMA=8 MIN_EDGES=30 IRLS_ITERS=10 C_HUBER=1.345 MODE=thetaStd STD_EXPORT=1 STD_MODE=hutch STD_PROBES=100000
group	n_edges	n_kept	pruned_pct	robust_p50	robust_p05	robust_p95	frac_robust_lt_0p99	sigma_hat
DYN_P	151577	144328	4.782	1.0000	0.0287	1.0000	0.402	0.00627219
FLAT_P	59388	59386	0.003	1.0000	0.3274	1.0000	0.327	0.0952835
KIS_P	115397	115226	0.148	0.5115	0.0485	1.0000	0.591	0.0139154
NAIR_P	66942	66938	0.006	0.4206	0.0376	1.0000	0.602	0.0116836
SKR_P	56244	56244	0.000	1.0000	0.4779	1.0000	0.266	0.163626
URH_P	78258	77983	0.351	1.0000	0.0380	1.0000	0.478	0.00972706
VEGG_P	42220	42199	0.050	0.9859	0.0313	1.0000	0.501	0.0108251
DJK_S	17917	17724	1.077	0.8777	0.0115	1.0000	0.522	0.00281906
TUFS_S	29231	28597	2.169	1.0000	0.0186	1.0000	0.497	0.00431092
URH_S	2685	2681	0.149	0.5018	0.0325	1.0000	0.586	0.00987828
RIFR_P	46088	46076	0.026	1.0000	0.3524	1.0000	0.316	0.120174
TUFS_P	111692	110044	1.475	0.6687	0.0223	1.0000	0.564	0.00481758
DYN_S	72749	72269	0.660	0.9716	0.0237	1.0000	0.504	0.00705395
KRE_S	3327	3325	0.060	0.5551	0.0711	1.0000	0.578	0.0210967
MIDF_S	10061	10054	0.070	1.0000	0.3669	1.0000	0.260	0.146041
TOHR_S	12681	12676	0.039	1.0000	0.2514	1.0000	0.399	0.0891986
BRUN_P	55631	55599	0.058	1.0000	0.2678	1.0000	0.374	0.0620691
SYLG_P	53071	53069	0.004	1.0000	0.5050	1.0000	0.241	0.169381
TUNG_P	17028	16936	0.540	0.9392	0.0199	1.0000	0.511	0.00475301
JOK_S	3589	3579	0.279	1.0000	0.5201	1.0000	0.233	0.157981
BJK_P	31850	31848	0.006	1.0000	0.3067	1.0000	0.359	0.0994139
MIDF_P	31280	31280	0.000	1.0000	0.3126	1.0000	0.294	0.111084
SURT_P	9426	9100	3.459	0.9518	0.0229	1.0000	0.509	0.00257185
TOHR_P	21369	21366	0.014	1.0000	0.2310	1.0000	0.367	0.0772114
KIS_S	82245	73437	10.709	1.0000	0.3573	1.0000	0.321	0.00339061
SKAF_S	585	562	3.932	0.5337	0.0128	1.0000	0.591	0.00337196
SKAF_P	759	759	0.000	1.0000	0.2438	1.0000	0.321	0.0829384
DJK_P	62813	62784	0.046	1.0000	0.2281	1.0000	0.419	0.0761935
KAL_S	11159	11158	0.009	1.0000	0.1012	1.0000	0.467	0.024397
SKEG_S	746	744	0.268	0.6873	0.0100	1.0000	0.544	0.00371539
RIFR_S	3225	3223	0.062	1.0000	0.4910	1.0000	0.236	0.181087
KAL_P	14080	14080	0.000	1.0000	0.4787	1.0000	0.242	0.168911
STAM_S	14616	14614	0.014	1.0000	0.5124	1.0000	0.253	0.181206
KRE_P	24581	24577	0.016	1.0000	0.3894	1.0000	0.301	0.132686
KSK_P	15360	15359	0.007	1.0000	0.4632	1.0000	0.263	0.164144
THO_S	29747	29729	0.061	1.0000	0.2657	1.0000	0.373	0.087435
FAG_P	7327	7327	0.000	1.0000	0.6366	1.0000	0.194	0.238794
GRS_P	52650	52650	0.000	1.0000	0.3546	1.0000	0.297	0.119818
IEY_S	6003	6002	0.017	1.0000	0.4047	1.0000	0.278	0.159107
SVED_S	7062	7059	0.042	1.0000	0.3691	1.0000	0.291	0.148309
JOK_P	20014	20013	0.005	1.0000	0.4365	1.0000	0.275	0.138946
LIND_P	59437	59424	0.022	1.0000	0.3405	1.0000	0.314	0.120653
SVED_P	35087	35087	0.000	1.0000	0.4755	1.0000	0.246	0.18072
KOLL_P	35302	35296	0.017	1.0000	0.2716	1.0000	0.390	0.0905834
STAM_P	46983	46983	0.000	1.0000	0.3882	1.0000	0.298	0.14252
VOT_P	5342	5340	0.037	1.0000	0.1720	1.0000	0.438	0.0559387
VSH_P	15999	15999	0.000	1.0000	0.3424	1.0000	0.301	0.125597
KATT_P	51372	51103	0.524	0.6290	0.0213	1.0000	0.571	0.00556631
FLUR_P	165646	165638	0.005	1.0000	0.2115	1.0000	0.404	0.058152
VONK_P	144789	144624	0.114	0.4465	0.0360	1.0000	0.602	0.0102408
HEFL_S	1352	1352	0.000	1.0000	0.4461	1.0000	0.240	0.160319
GRS_S	12404	12404	0.000	1.0000	0.4307	1.0000	0.246	0.165658
SKR_S	9243	9243	0.000	0.9573	0.0429	1.0000	0.507	0.0121792
RJUP_P	80475	71986	10.549	1.0000	0.0403	1.0000	0.415	0.00389101
